method,n_iters,point_estimate,bootstrap_mean,ci_lower_2.5,ci_upper_97.5,bootstrap_std
marginal,500,0.06153846153846154,0.07728726863790872,0.050657632522917474,0.1336287495130502,0.020809174001393194
gc,500,0.04594594594594592,0.06476421903125247,0.034708013640238705,0.09999999999999998,0.01693936355274438
fair,500,0.04492753623188406,0.07062769963691354,0.03730301556420231,0.12948717948717944,0.024386285465745963
