source,target,coverage_stability_fair,coverage_stability_gc,coverage_stability_marginal,mean_set_size_delta_fair,mean_set_size_delta_gc,mean_set_size_delta_marginal,set_flip_rate_fair,set_flip_rate_gc,set_flip_rate_marginal
African,Caucasian,0.026666666666666616,0.0,0.026666666666666616,-0.013333333333333334,0.04,-0.013333333333333334,0.18666666666666668,0.17333333333333334,0.18666666666666668
Asian,Caucasian,0.030303030303030276,0.0,0.0,-0.030303030303030304,-0.21212121212121213,-0.06060606060606061,0.21212121212121213,0.36363636363636365,0.24242424242424243
Homosexual,Heterosexual,0.15555555555555556,0.16666666666666663,0.15555555555555556,-0.4888888888888889,-0.5,-0.5,0.5,0.5,0.5111111111111111
Islam,Christian,0.04504504504504503,0.05405405405405406,0.03603603603603611,-0.0990990990990991,-0.11711711711711711,-0.08108108108108109,0.32432432432432434,0.3063063063063063,0.3333333333333333
Jewish,Caucasian,0.0,0.00917431192660545,0.00917431192660556,-0.009174311926605505,0.027522935779816515,-0.027522935779816515,0.24770642201834864,0.27522935779816515,0.23853211009174313
Women,Men,0.03703703703703698,0.01851851851851849,0.02777777777777779,0.009259259259259259,0.07407407407407407,-0.009259259259259259,0.21296296296296297,0.17592592592592593,0.23148148148148148
